" ","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_ALLIANCE_UNLOCK_LEVEL","Complete training to unlock","Terminez l'entraînement pour accéder à cette fonction","Wird nach Abschluss der Ausbildung freigeschaltet.","Completa el entrenamiento para desbloquear.","Completa l'addestramento per sbloccare","Voltooi training om te ontgrendelen","Fullfør treningen for å låse opp dette","Açmak için eğitimi tamamla","訓練キャンプをクリアするとアンロックされます","훈련을 완료해 잠금 해제","Заверши тренировку, чтобы открыть","إكمال التدريب من أجل الفتح","Complete o treino para desbloquear","完成训练以解锁","完成訓練以解鎖","آموزش رو کامل کن تا قفل رو باز کنی","Selesaikan latihan untuk membuka","Selesaikan latihan untuk membuka kunci"
"TID_FRIEND_INVITE_POST_MESSAGE","Click this link to add as friend in Clash Royale!","Cliquez sur le lien pour ajouter cet ami dans Clash Royale !","Tippe auf diesen Link, um mich in Clash Royale als Freund hinzuzufügen!","¡Entra en este enlace para añadirme como amigo de Clash Royale!","Tocca questo link per aggiungermi come amico in Clash Royale!","Tik op deze link om me toe te voegen als vriend in Clash Royale.","Klikk på denne lenken for å legge til som venn i Clash Royale!","Clash Royale'de arkadaş olarak eklemek için bu bağlantıya tıkla!","このリンクをクリックすると、クラッシュ・ロワイヤルのフレンドになります！","이 링크를 클릭해 클래시 로얄 친구로 추가하세요!","Нажми на ссылку, чтобы добавить друга в Clash Royale!","انقر على هذا الرابط للإضافة كصديق في Clash Royale!","Clique neste link para adicionar como amigo no Clash Royale!","点击该链接添加为《部落冲突:皇室战争》好友！","點擊該連結新增為《部落衝突:皇室戰爭》好友！","روی این لینک کلیک کن تا در Clash Royale دوست اضافه کنی!","Klik tautan ini untuk menjadikannya teman di Clash Royale!","Klik pautan ini untuk menambah sebagai rakan di Clash Royale!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","Click this link to join my Clan in Clash Royale!","Cliquez sur ce lien pour rejoindre mon clan dans Clash Royale !","Tippe auf diesen Link, um meinem Clan in Clash Royale beizutreten!","¡Entra en este enlace para unirte a mi clan de Clash Royale!","Tocca questo link per unirti al mio clan in Clash Royale!","Tik op deze link om je aan te sluiten bij mijn clan in Clash Royale.","Klikk på denne lenken for bli med i klanen min i Clash Royale!","Clash Royale'de klanıma katılmak için bu bağlantıya tıkla!","このリンクをクリックすると、クラッシュ・ロワイヤルの私のクランに参加します！","이 링크를 클릭해서 클래시 로얄 클랜에 가입하세요!","Нажми на ссылку, чтобы вступить в мой клан в Clash Royale!","انقر على هذا الرابط للانضمام إلى قبيلتي في Clash Royale!","Clique neste link para entrar para o meu clã no Clash Royale!","点击该链接加入我在《部落冲突:皇室战争》中的部落！","點擊該連結加入我在《部落衝突:皇室戰爭》中的部落！","روی این لینک کلیک کن تا در Clash Royale به قبیله‌ام بپیوندی!","Klik tautan ini untuk ikut Klanku di Clash Royale!","Klik pautan ini untuk menyertai klan saya di Clash Royale!"
"TID_SPELL_SKELETON_BALLOON","Skeleton Barrel","Fût à squelettes","Skelettfass","Barril de esqueletos","Barile d'ossa","Skelettenton","Skjelettønne","İskelet Fıçısı","スケルトンバレル","해골 통","Бочка со скелетами","برميل الهياكل العظمية","Barril de Esqueletos","骷髅气球","骷髏氣球","بشکه اسکلت","Tong Jerangkong","Tong Rangka"
"TID_CARD_SHOP_CYCLE_CONDITION","All available cards will cycle through the Shop within a 3 month period. Cards refresh every 24 hours. Legendary Cards appear after reaching Arena 10.","Toutes les cartes disponibles se succèderont au magasin sur un cycle de 3 mois. Les cartes changeront toutes les 24 heures. Les cartes légendaires feront leur apparition au magasin quand vous aurez atteint l'arène 10.","Alle verfügbaren Karten sind innerhalb von 3 Monaten mindestens einmal im Shop erhältlich. Die zum Verkauf stehenden Karten werden alle 24 Stunden aktualisiert. Legendäre Karten sind ab Arena 10 im Shop erhältlich.","Las cartas disponibles aparecen en la tienda en un ciclo de tres meses. Las cartas se renuevan cada 24 horas. Las cartas legendarias aparecen en la tienda tras la arena 10.","Nell'arco di 3 mesi, tutte le carte disponibili compariranno nel negozio. Ogni 24 ore verranno offerte nuove carte. Le carte leggendarie appaiono nel negozio solo dall'arena 10.","Alle beschikbare kaarten zullen binnen een periode van drie maanden rouleren in de winkel. Kaarten worden iedere 24 uur vernieuwd. Legendarische kaarten verschijnen vanaf arena 10.","Alle tilgjengelige kort sirkulerer i butikken i løpet av 3 måneder. Det kommer nye kort til salgs hver 24. time. Legendariske kort vises bare når du har nådd arena 10.","Kullanılabilir tüm kartlar 3 aylık bir süreçte sırayla dükkana gelir. Satıştaki kartlar her 24 saatte bir yenilenir. Efsanevi kartlar 10. Arenadan sonra dükkana gelmeye başlar.","入手可能なカードは、3ヵ月以内に必ずショップに登場します。また、ショップに並んでいるカードは24時間ごとに入れ替わります。ウルトラレアカードはアリーナレベル10以降のショップにのみ登場します。","사용 가능한 모든 카드들이 상점에서 3개월 주기로 순환됩니다. 카드는 24시간마다 새로 바뀝니다. 전설 카드는 아레나 10에 입성한 후에 등장합니다.","Все доступные карты будут меняться в магазине в течение 3 месяцев. Карты обновляются каждые 24 часа. (Легендарные карты будут меняться в магазине по достижении 10-й арены.)","سوف تمر كل البطاقات المتاحة على المتجر في دورة على مدار 3 شهور. وتُحدّث البطاقات كل 24 ساعة. تظهر البطاقات الأسطورية بعد الوصول إلى الساحة 10.","O ciclo das cartas disponíveis na loja é de 3 meses. As cartas são atualizadas a cada 24 horas. Cartas lendárias entrarão para o ciclo a partir da Arena 10.","每3个月将刷新出所有您可获得的卡牌。商店每天24点刷新。传奇卡仅会在您达到10阶竞技场后出现。","每3個月將刷新出所有您可獲得的卡牌。商店每天24點刷新。傳奇卡僅會在您達到10階競技場後出現。","همه کارت‌های موجود تو دوره 3 ماهه توی فروشگاه گردش دارن. کارت‌ها هر 24 ساعت عوض میشن. (کارت‌های افسانه‌ای فقط بعد از رسیدن به میدان نبرد 10 عرضه می‌شن)","Semua kartu yang tersedia akan digilir di toko dalam periode 3 bulan. Kartu diperbarui setiap 24 jam. Kartu Legendaris muncul setelah Arena 10.","Semua kad yang dibuka kunci akan dikitar di dalam kedai dalam tempoh 3 bulan. Kad disegar semula setiap 24 jam. Kad Legenda muncul selepas Arena 10."
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Unable to add friend, their friend list is full!","Impossible d'ajouter cet ami, sa liste d'amis est pleine !","Freund kann nicht hinzugefügt werden. Seine Freundeliste ist voll!","¡No puedes añadir a este amigo porque su lista de amigos está llena!","Impossibile aggiungere amico, la sua lista di amici è piena!","Vriend kan niet worden toegevoegd, want zijn vriendenlijst is vol!","Kunne ikke legge til venn. Vedkommendes venneliste er full!","Arkadaş eklenemedi, arkadaş listen dolu!","フレンドを追加できません！ 相手のフレンドリストが一杯です。","친구를 추가할 수 없습니다. 해당 친구의 친구 목록이 꽉 찼습니다!","Не удалось добавить друга, его список друзей переполнен!","لا يمكن إضافة صديق، قائمة أصدقاء الشخص ممتلئة!","Falha ao adicionar amigo. A lista de amigos do jogador está cheia!","无法添加好友，对方的好友列表已满！","無法新增好友，對方的好友列表已滿！","نمیشه دوست اضافه کرد، فهرست دوستانش پره!","Tidak dapat menjadikannya teman, daftar temannya penuh!","Gagal menambah rakan, senarai rakan mereka penuh!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Unable to add friend, your friend list is full!","Impossible d'ajouter cet ami, votre liste d'amis est pleine !","Freund kann nicht hinzugefügt werden. Deine Freundeliste ist voll!","¡No puedes añadir amigos porque tu lista de amigos está llena!","Impossibile aggiungere amico, la tua lista di amici è piena!","Vriend kan niet worden toegevoegd, want je vriendenlijst is vol!","Kunne ikke legge til venn. Vennelisten din er full!","Arkadaş eklenemedi, arkadaş listen dolu!","フレンドを追加できません！ フレンドリストが一杯です。","친구를 추가할 수 없습니다. 친구 목록이 꽉 찼습니다!","Не удалось добавить друга, твой список друзей переполнен!","لا يمكن إضافة صديق، قائمة أصدقائك ممتلئة!","Falha ao adicionar amigo. Sua lista de amigos está cheia!","无法添加好友，您的好友列表已满！","無法新增好友，您的好友列表已滿！","نمیشه دوست اضافه کرد، فهرست دوستانت پره!","Tidak dapat menjadikannya teman, daftar temanmu penuh!","Gagal menambah rakan, senarai rakan anda penuh!"
"TID_ADD_FRIEND_FAILED_BANNED","Unable to add friend, user is banned!","Impossible d'ajouter cet ami, il a été banni !","Freund kann nicht hinzugefügt werden. Der Spieler ist gesperrt!","¡No puedes añadir a este amigo porque se le ha vetado!","Impossibile aggiungere amico, l'utente è stato sospeso!","Vriend kan niet worden toegevoegd. Speler is geblokkeerd.","Kunne ikke legge til venn. Brukeren er utestengt!","Arkadaş eklenemedi, kullanıcı engellenmiş!","フレンドを追加できません！ 相手のアカウントが停止されています。","친구를 추가할 수 없습니다. 사용자가 차단되었습니다!","Не удалось добавить друга, пользователь заблокирован!","لا يمكن إضافة الصديق، المستخدِم محظور!","Falha ao adicionar amigo. O usuário está banido!","无法添加好友，用户已被封禁！","無法新增好友，用戶已被封禁！","نمیشه دوست اضافه کرد، بازیکن تحریم شده!","Tidak dapat menjadikannya teman, pemain diblokir!","Gagal menambah rakan, pengguna disekat!"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","Unable to join clan while in training!","Impossible de rejoindre un clan pendant l'entraînement !","Du kannst erst nach der Ausbildung Clans beitreten!","¡No es posible unirse a un clan durante el entrenamiento!","Completa l'addestramento prima di unirti a un clan!","Je kunt je niet aansluiten bij een clan tijdens je training.","Du kan ikke bli med i en klan mens du er i trening!","Eğitim sırasında klana katılamazsın!","訓練中はクランに参加できません！","훈련 중에는 클랜에 가입할 수 없습니다!","Нельзя вступить в клан, не закончив тренировку!","لا يمكن الانضمام إلى قبيلة أثناء التدريب!","Não é possível entrar para um clã antes de terminar o treino!","完成训练之前无法加入部落！","完成訓練之前無法加入部落！","وقتی در حال آموزشی، نمیشه به قبیله بپیوندی!","Tidak dapat ikut klan selagi berlatih!","Tidak dapat menyertai klan semasa dalam latihan!"
"TID_COMPLETE_TUTORIAL","Complete training first!","Commencez par terminer l'entraînement !","Schließe zuerst die Ausbildung ab!","¡Primero debes terminar el entrenamiento!","Completa prima l'addestramento!","Voltooi eerst je training.","Fullfør treningen først!","Önce eğitimi tamamla!","先に訓練をクリアしてください！","먼저 훈련을 완료하세요!","Сначала заверши тренировку!","أكمل التدريب أولاً!","Complete o treino primeiro!","请先完成训练！","請先完成訓練！","اول آموزش رو تکمیل کن!","Selesaikan latihan dahulu!","Selesaikan latihan dahulu!"
